id,coordinate,mpc1,mpc2,mpc3
Scottsdale South,"[33.48042,-111.92627]",Scottsdale,Paradise Valley,Tempe
Show Low,"[34.24385,-110.04520]",Show Low,Lakeside,Polacca
Sierra Vista,"[31.72793,-110.13105]",Sierra Vista,Fort Huachuca,Hereford
Snowflake,"[34.50727,-110.29872]",Snowflake,Taylor,Show Low
Somerton,"[32.59427,-114.73189]",Somerton,San Luis,Yuma
South Mountain Village & Guadalupe,"[33.38173,-112.04570]",Phoenix,Glendale,Guadalupe
Springerville,"[34.32325,-109.46858]",Eagar,Springerville,Saint Johns
Sun City,"[33.61639,-112.28463]",Sun City,Peoria,El Mirage
Sun City West,"[33.66978,-112.36695]",Sun City West,Surprise,El Mirage
Sun Lakes,"[33.21810,-111.86703]",Sun Lakes,Chandler,Sacaton
Surprise North & Wickenburg,"[33.81899,-112.84696]",Wickenburg,Morristown,Wittmann
Surprise South,"[33.63289,-112.39011]",Surprise,El Mirage,Sun City West
Tanque Verde,"[32.37463,-110.63823]",Tanque Verde,Oro Valley,Corona De Tucson
Tempe North,"[33.42025,-111.92813]",Tempe,Mesa,Guadalupe
Tempe South,"[33.34916,-111.93272]",Tempe,Mesa,Guadalupe
Thatcher,"[32.86449,-109.78283]",Thatcher,Central,Safford
Tohono O'odham Nation,"[32.07288,-111.97324]",Sells,Tucson,Marana
Tucson Central,"[32.25023,-110.96318]",Tucson,Oro Valley,Cortaro
Tucson East,"[32.17653,-110.84098]",Tucson,Oro Valley,Cortaro
Tucson Estates,"[32.15131,-111.27510]",Tucson Estates,Cortaro,Oro Valley
Tucson Foothills,"[32.23524,-110.84412]",Tucson,Oro Valley,Cortaro
Tucson South,"[32.08910,-110.90942]",Tucson,Oro Valley,Cortaro
Tucson South East,"[32.13130,-110.77274]",Tucson,Oro Valley,Cortaro
Tucson West,"[32.25445,-111.09715]",Tucson,Oro Valley,Cortaro
Vail,"[32.04119,-110.68854]",Corona De Tucson,Vail,Sahuarita
Valencia West,"[32.06371,-111.20690]",Valencia West,Sahuarita,Cortaro
White Mountain Apache Tribe,"[33.93714,-110.32113]",Whiteriver,Lakeside,Show Low
Willcox & Bowie,"[32.14804,-109.60022]",Willcox,Bowie,Dragoon
Williamson,"[34.52748,-112.89956]",Williamson,Prescott,Paulden
Winslow,"[34.87019,-110.29690]",Winslow,Holbrook,Flagstaff
Yuma,"[32.82656,-114.57570]",Yuma,Somerton,San Luis
