id,lat,lon,number,score,rural,tax,azmua,pchpsa,fedmuap,mpc1,mpc2,mpc3,travel2,travel3
Gila River Indian Community,33.178,-111.91247,73,60,INDIAN,No,(See PC HPSAs),Native American::(Gila River Indian Community),53.90::MUA::(Gila River),Sacaton,Casa Grande,Sun Lakes,Less than or equal to 20 minutes,Less than or equal to 20 minutes
Gilbert Central,33.32119,-111.74479,75,10,URBAN,A,(See PC HPSAs),Geographic::(Queen Creek),No,Gilbert,Chandler,Mesa,Less than or equal to 20 minutes,Less than or equal to 20 minutes
Gilbert North,33.35014,-111.76499,74,12,URBAN,A,No,No,No,Gilbert,Chandler,Mesa,Less than or equal to 20 minutes,Less than or equal to 20 minutes
Gilbert South,33.2557,-111.73772,76,10,URBAN,A,(See PC HPSAs),Geographic::(Queen Creek),No,Gilbert,Chandler,Mesa,Less than or equal to 20 minutes,Less than or equal to 20 minutes
Glendale Central,33.53798,-112.19462,58,56,URBAN,A,(See PC HPSAs),Geographic::(Glendale),54.90::MUA::(Glendale),Glendale,Peoria,Sun City,Less than or equal to 20 minutes,Less than or equal to 20 minutes
Glendale North,33.62556,-112.1863,56,20,URBAN,A,(See PC HPSAs),Geographic::(Glendale),54.90::MUA::(Glendale),Glendale,Peoria,Sun City,Less than or equal to 20 minutes,Less than or equal to 20 minutes
Glendale West,33.54407,-112.35396,57,20,URBAN,A,(See PC HPSAs),Geographic::(El Mirage)::Geographic::(Glendale),No,Glendale,Peoria,Sun City,Less than or equal to 20 minutes,Less than or equal to 20 minutes
Globe,33.41101,-110.83951,24,46,RURAL,No,(See PC HPSAs),Geographic::(Globe),60.20::MUA::(Gila County),Globe,Claypool,Superior,Less than or equal to 20 minutes,21 to 30 minutes
Gold Canyon,33.36065,-111.28276,90,18,RURAL,No,(See PC HPSAs),Geographic::(Apache Junction)::Geographic::(Superior/Kearny),52.60::MUA::(Apache Junction)::58.80::MUA::(Superior),Gold Canyon,Apache Junction,Queen Valley,Less than or equal to 20 minutes,21 to 30 minutes
Golden Valley,35.32425,-114.35385,4,52,RURAL,No,(See PC HPSAs),Geographic HN::(Dolan Springs)::P Low Inc.::(Kingman),36.80::MUA::(Dolan Springs)::61.90::MUA::(Kingman),Golden Valley,Kingman,Bullhead City,Less than or equal to 20 minutes,31 to 40 minutes
Goodyear & Litchfield Park,33.25879,-112.422,63,16,URBAN,A,(See PC HPSAs),Geographic::(Avondale/Tolleson)::Geographic::(Gila Bend),59.60::MUP-Low Inc::(Avondale/Tolleson)::57.10::MUA::(Gila Bend),Goodyear,Avondale,Litchfield Park,Less than or equal to 20 minutes,Less than or equal to 20 minutes
Grand Canyon Village,35.68674,-112.58676,9,32,FRONTIER,No,(See PC HPSAs),Geographic::(Williams),No,Williams,Parks,Flagstaff,21 to 30 minutes,41 to 60 minutes
Green Valley,31.75137,-111.26573,118,38,URBAN,No,(See PC HPSAs),Geographic::(Arivaca)::Geographic::(Continental),52.30::MUA::(Arivaca),Green Valley,Sahuarita,Tubac,21 to 30 minutes,21 to 30 minutes
Hopi Tribe,35.96528,-110.64795,11,58,INDIAN,No,Yes,No,38.10::MUA::(Navajo County)::54.10::MUA::(Tuba City),Tuba City,Polacca,Kayenta,more than 80 minutes,more than 80 minutes
Hualapai Tribe,35.79304,-113.61934,3,95,INDIAN,No,Yes,No,45.10::MUA::(Peach Springs),Peach Springs,Golden Valley,Chloride,more than 80 minutes,more than 80 minutes
Kingman,35.20281,-114.04369,2,46,RURAL,A,(See PC HPSAs),Geographic HN::(Dolan Springs)::P Low Inc.::(Kingman),36.80::MUA::(Dolan Springs)::61.90::MUA::(Kingman),Kingman,Golden Valley,Chloride,Less than or equal to 20 minutes,21 to 30 minutes
Lake Havasu City,34.49153,-114.23101,6,28,RURAL,No,No,No,No,Lake Havasu City,Topock,Parker,31 to 40 minutes,41 to 60 minutes
Laveen Village,33.37252,-112.17587,40,28,URBAN,A,(See PC HPSAs),P Low Inc.::(Phoenix Central)::Geographic HN::(Phoenix-South Mountain),59.60::MUA::(South Mountain),Phoenix,Glendale,Guadalupe,Less than or equal to 20 minutes,Less than or equal to 20 minutes
Marana,32.39564,-111.17205,101,12,URBAN,No,(See PC HPSAs),Geographic::(Marana),62.00::MUA::(Marana),Marana,Red Rock,Cortaro,Less than or equal to 20 minutes,Less than or equal to 20 minutes
Maricopa,32.79716,-111.97191,94,30,RURAL,No,(See PC HPSAs),Geographic::(Maricopa),50.50::MUP-Low Inc::(Central-West Pinal),Maricopa,Sun Lakes,Casa Grande,21 to 30 minutes,21 to 30 minutes
Maryvale Village,33.48736,-112.21492,36,48,URBAN,A,(See PC HPSAs),Geographic::(Glendale)::P Low Inc.::(Phoenix Central)::P Low Inc.::(Phoenix-South Central),59.60::MUA::(West Phoenix),Phoenix,Glendale,Guadalupe,Less than or equal to 20 minutes,Less than or equal to 20 minutes
Mesa Central,33.42166,-111.78836,67,32,URBAN,A,(See PC HPSAs),P Low Inc.::(Tempe),No,Mesa,Tempe,Gilbert,Less than or equal to 20 minutes,Less than or equal to 20 minutes
Mesa East,33.4155,-111.71905,68,24,URBAN,A,No,No,No,Mesa,Tempe,Gilbert,Less than or equal to 20 minutes,Less than or equal to 20 minutes
Mesa Gateway,33.34653,-111.63487,69,18,URBAN,A,(See PC HPSAs),Geographic::(Apache Junction)::Geographic::(Queen Creek),No,Mesa,Tempe,Gilbert,Less than or equal to 20 minutes,Less than or equal to 20 minutes
Mesa North,33.45515,-111.70151,65,18,URBAN,A,(See PC HPSAs),Geographic::(Apache Junction),No,Mesa,Tempe,Gilbert,Less than or equal to 20 minutes,Less than or equal to 20 minutes
Mesa West,33.41324,-111.84998,66,36,URBAN,A,(See PC HPSAs),P Low Inc.::(Tempe),No,Mesa,Tempe,Gilbert,Less than or equal to 20 minutes,Less than or equal to 20 minutes
Morenci,33.10246,-109.27116,83,36,FRONTIER,No,(See PC HPSAs),P Low Inc.::(Greenlee County),61.30::MUA::(Duncan),Clifton,Safford,Pima,41 to 60 minutes,61 to 80 minutes
Navajo Nation,35.95417,-110.46871,8,60,INDIAN,No,(See PC HPSAs),Native American::(Navajo Nation),38.10::MUA::(Navajo County)::35.90::MUA::(Apache County)::54.10::MUA::(Tuba City),Kayenta,Pinon,Teec Nos Pos,more than 80 minutes,more than 80 minutes
New River,33.86152,-112.01754,50,18,URBAN,A,No,No,No,New River,Anthem,Desert Hills,Less than or equal to 20 minutes,Less than or equal to 20 minutes
Nogales,31.38172,-110.9128,126,52,RURAL,No,(See PC HPSAs),County::(Santa Cruz County),61.20::MUA::(Santa Cruz County),Nogales,Rio Rico,Patagonia,Less than or equal to 20 minutes,21 to 30 minutes
North Gateway,33.8869,-112.15963,29,14,URBAN,A,No,No,No,Phoenix,Glendale,Guadalupe,Less than or equal to 20 minutes,Less than or equal to 20 minutes
North Mountain Village,33.59654,-112.10239,33,30,URBAN,A,(See PC HPSAs),Geographic::(Glendale)::P Low Inc.::(Phoenix Central)::Geographic HN::(Phoenix Sunnyslope),60.90::MUP-Low Inc::(I-17 Corridor)::59.40::MUA::(Phoenix Sunnyslope),Phoenix,Glendale,Guadalupe,Less than or equal to 20 minutes,Less than or equal to 20 minutes
Oro Valley,32.42259,-110.99166,100,8,URBAN,No,No,No,No,Oro Valley,Cortaro,Saddlebrooke,Less than or equal to 20 minutes,Less than or equal to 20 minutes
Page,36.52264,-112.02438,7,54,FRONTIER,A,(See PC HPSAs),Geographic::(Fredonia),54.10::MUA::(Tuba City),Page,Tuba City,Kayenta,more than 80 minutes,more than 80 minutes
Paradise Valley,33.54586,-111.96935,61,14,URBAN,A,No,No,No,Paradise Valley,Scottsdale,Tempe,Less than or equal to 20 minutes,Less than or equal to 20 minutes
Paradise Valley Village,33.62069,-111.99539,32,18,URBAN,A,No,No,52.80::MUA::(Paradise Valley),Phoenix,Glendale,Guadalupe,Less than or equal to 20 minutes,Less than or equal to 20 minutes
Parker,34.15158,-114.29089,28,52,RURAL,No,(See PC HPSAs),Geographic HN::(La Paz County),60.30::MUP-Low Inc::(Parker),Parker,Lake Havasu City,Salome,41 to 60 minutes,more than 80 minutes
Pascua Yaqui Tribe,32.11891,-111.08241,117,58,INDIAN,No,(See PC HPSAs),Native American::(Pascua Yaqui Tribe),No,Pascua Yaqui Tribe,Oro Valley,Cortaro,Less than or equal to 20 minutes,Less than or equal to 20 minutes
Payson,34.05087,-111.23093,23,34,RURAL,No,(See PC HPSAs),Geographic HN::(Young),60.20::MUA::(Gila County),Payson,Pine,Heber,21 to 30 minutes,61 to 80 minutes
Peoria North,33.77002,-112.32764,48,6,URBAN,A,(See PC HPSAs),Geographic::(Wickenburg),61.10::MUA::(Wickenburg),Peoria,Sun City,Glendale,Less than or equal to 20 minutes,Less than or equal to 20 minutes
Peoria South,33.59452,-112.25485,49,20,URBAN,A,No,No,No,Peoria,Sun City,Glendale,Less than or equal to 20 minutes,Less than or equal to 20 minutes
Picture Rocks,32.36142,-111.45812,103,30,RURAL,No,(See PC HPSAs),Geographic::(Marana),62.00::MUA::(Marana),Picture Rocks,Oro Valley,Tucson,Less than or equal to 20 minutes,21 to 30 minutes
Prescott,34.56732,-112.49566,21,28,RURAL,No,No,No,56.80::MUP-Low Inc::(Yavapai),Prescott,Prescott Valley,Dewey,Less than or equal to 20 minutes,21 to 30 minutes
Prescott Valley,34.67643,-112.21177,20,32,RURAL,No,(See PC HPSAs),P Low Inc.::(Prescott Valley)::Geographic::(Yavapai-Northeast),56.80::MUP-Low Inc::(Yavapai),Prescott Valley,Dewey,Humboldt,Less than or equal to 20 minutes,Less than or equal to 20 minutes
Quartzsite,33.67225,-114.03215,26,75,FRONTIER,No,(See PC HPSAs),Geographic HN::(La Paz County),59.70::MUA::(Quartzsite)::60.30::MUP-Low Inc::(Parker)::31.10::MUA::(Salome),Quartzsite,Salome,Lake Havasu City,41 to 60 minutes,more than 80 minutes
Queen Creek,33.20304,-111.63168,80,14,RURAL,A,(See PC HPSAs),Geographic::(Queen Creek)::Geographic::(Superior/Kearny),No,Queen Creek,Higley,San Tan Valley,Less than or equal to 20 minutes,Less than or equal to 20 minutes
Rio Rico,31.53199,-110.9093,125,32,RURAL,No,(See PC HPSAs),County::(Santa Cruz County),61.20::MUA::(Santa Cruz County),Rio Rico,Tubac,Nogales,Less than or equal to 20 minutes,Less than or equal to 20 minutes
