id	date	r1	r2	TG92300
GAS-TG700692-095	2021-01-25	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700692-095_S53_L001_R1_001.fastq.gz	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700692-095_S53_L001_R2_001.fastq.gz	90.15%
GAS-TG700694-095	2021-01-25	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700694-095_S54_L001_R1_001.fastq.gz	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700694-095_S54_L001_R2_001.fastq.gz	88.80%
GAS-TG700696-095	2021-01-25	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700696-095_S55_L001_R1_001.fastq.gz	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700696-095_S55_L001_R2_001.fastq.gz	91.13%
GAS-TG700698-095	2021-01-25	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700698-095_S56_L001_R1_001.fastq.gz	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700698-095_S56_L001_R2_001.fastq.gz	89.85%
GAS-TG700700-095	2021-01-25	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700700-095_S57_L001_R1_001.fastq.gz	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700700-095_S57_L001_R2_001.fastq.gz	88.77%
GAS-TG700702-095	2021-01-25	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700702-095_S58_L001_R1_001.fastq.gz	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700702-095_S58_L001_R2_001.fastq.gz	89.53%
GAS-TG700704-095	2021-01-25	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700704-095_S59_L001_R1_001.fastq.gz	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700704-095_S59_L001_R2_001.fastq.gz	89.55%
GAS-TG700706-095	2021-01-25	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700706-095_S60_L001_R1_001.fastq.gz	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700706-095_S60_L001_R2_001.fastq.gz	89.07%
GAS-TG700708-095	2021-01-25	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700708-095_S61_L001_R1_001.fastq.gz	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700708-095_S61_L001_R2_001.fastq.gz	89.78%
GAS-TG700710-095	2021-01-25	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700710-095_S62_L001_R1_001.fastq.gz	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700710-095_S62_L001_R2_001.fastq.gz	89.84%
